54,5,1,0,20,1,26,3,1,0,20,8.0,18,18.0,0,8,3,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,0,-1,-1,-1,1
45,7,1,0,13,2,19,4,2,0,8,4.0,6,5.0,0,13,4,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,1
26,2,0,0,1,0,25,3,0,0,17,7.666666666666667,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,1,-1,-1,-1,0
66,6,0,0,23,3,29,4,3,0,18,6.5,14,6.333333333333333,0,14,3,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,0,-1,-1,-1,1
29,2,0,0,10,2,19,3,2,0,11,5.666666666666667,5,3.5,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,1
24,2,0,0,7,1,17,3,1,0,9,5.0,5,5.0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,0.0,0.0,0,0
20,3,0,0,1,0,19,4,0,0,8,4.0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,0
66,4,0,0,27,4,19,2,4,0,15,9.0,11,5.5,0,20,3,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,0,-1,-1,-1,1
25,2,0,0,7,1,13,3,1,0,5,3.6666666666666665,5,5.0,0,5,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,1,1,1,-1,-1,-1,0
31,2,0,0,15,2,16,3,2,0,9,4.666666666666667,6,6.0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,1
32,2,0,0,12,2,11,3,2,0,3,3.0,7,4.5,0,9,0,1,0,0,0,0,-1,-1,-1,-1,-1,4,1,1,-1,-1,-1,-1,-1,1,0.8211382113821138,0.18699186991869918,0,0
14,2,0,0,1,0,13,3,0,0,6,3.6666666666666665,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,0.10526315789473684,0.10526315789473684,0,0
18,2,0,0,1,0,17,3,0,0,10,5.0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,0
21,2,0,0,7,1,14,2,1,0,11,6.5,5,5.0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,1
34,3,0,0,1,0,22,3,0,0,13,6.666666666666667,0,0,0,11,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,1
47,7,0,0,6,1,18,4,1,0,8,3.75,4,4.0,0,23,4,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,0,-1,-1,-1,1
52,6,0,0,27,4,10,3,4,0,3,2.6666666666666665,8,5.5,0,15,4,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,0,-1,-1,-1,1
20,1,0,0,7,1,13,2,1,0,10,6.0,5,5.0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,1
19,1,0,0,5,1,13,2,1,0,9,6.0,3,3.0,0,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,1
42,5,0,0,17,3,22,3,3,0,15,6.666666666666667,8,4.333333333333333,0,3,3,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,0.8484848484848485,0.7272727272727273,0,1
66,5,1,0,12,2,22,2,2,0,18,10.5,5,4.5,0,9,1,0,23,1,0,0,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,0,-1,-1,-1,1
37,2,1,3,1,0,36,3,0,0,26,11.333333333333334,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,1
27,3,0,0,1,0,26,4,0,0,16,5.75,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,0
21,2,0,0,1,0,20,3,0,0,13,6.0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,6,1,1,1,-1,-1,-1,1,1,0.20454545454545456,0.20454545454545456,0,0
64,5,1,2,34,1,27,3,1,0,18,8.333333333333334,32,32.0,0,3,3,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,0,-1,-1,-1,1
34,2,1,0,10,1,24,3,1,0,16,7.333333333333333,8,8.0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,0.75,0.75,0,1
20,2,0,0,1,0,19,3,0,0,11,5.666666666666667,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,0
20,2,0,0,1,0,19,3,0,0,11,5.666666666666667,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,0.05660377358490566,0.05660377358490566,0,0
26,2,0,0,10,1,16,3,1,0,8,4.666666666666667,8,8.0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,1
